item_id,benchmark,condition,selected_candidate_indices
nextgqa:2414043078:6,nextgqa,plain_dpp_8,"[19, 25, 32, 34, 43, 52, 53, 54]"
nextgqa:2416632400:1,nextgqa,mdp3_8,"[0, 24, 29, 44, 54, 55, 59, 61]"
nextgqa:2416632400:1,nextgqa,plain_dpp_8,"[0, 24, 29, 44, 54, 55, 59, 62]"
nextgqa:2416632400:2,nextgqa,mdp3_8,"[0, 24, 36, 44, 55, 57, 59, 63]"
nextgqa:2416632400:2,nextgqa,plain_dpp_8,"[0, 24, 36, 44, 55, 57, 59, 63]"
nextgqa:2419603277:4,nextgqa,mdp3_8,"[2, 10, 21, 41, 48, 49, 51, 55]"
nextgqa:2419603277:4,nextgqa,plain_dpp_8,"[10, 12, 40, 48, 49, 51, 55, 56]"
nextgqa:2449442559:6,nextgqa,mdp3_8,"[18, 29, 34, 42, 46, 49, 59, 60]"
nextgqa:2449442559:6,nextgqa,plain_dpp_8,"[29, 34, 42, 46, 49, 51, 59, 60]"
nextgqa:2481132749:7,nextgqa,mdp3_8,"[3, 16, 18, 24, 45, 50, 57, 62]"
nextgqa:2481132749:7,nextgqa,plain_dpp_8,"[13, 16, 18, 24, 47, 52, 57, 62]"
nextgqa:2482233944:5,nextgqa,mdp3_8,"[14, 15, 23, 34, 35, 36, 38, 61]"
nextgqa:2482233944:5,nextgqa,plain_dpp_8,"[15, 23, 34, 35, 36, 37, 38, 61]"
nextgqa:2493035685:6,nextgqa,mdp3_8,"[0, 2, 10, 26, 29, 42, 52, 57]"
nextgqa:2493035685:6,nextgqa,plain_dpp_8,"[0, 2, 10, 29, 36, 52, 57, 58]"
nextgqa:2517097455:11,nextgqa,mdp3_8,"[0, 10, 17, 20, 21, 25, 37, 54]"
nextgqa:2517097455:11,nextgqa,plain_dpp_8,"[0, 10, 17, 20, 25, 35, 37, 54]"
nextgqa:2547320060:1,nextgqa,mdp3_8,"[3, 5, 8, 28, 30, 38, 54, 63]"
nextgqa:2547320060:1,nextgqa,plain_dpp_8,"[3, 5, 8, 10, 30, 49, 54, 63]"
nextgqa:2547320060:4,nextgqa,mdp3_8,"[3, 5, 8, 10, 16, 30, 38, 63]"
nextgqa:2547320060:4,nextgqa,plain_dpp_8,"[3, 5, 8, 10, 16, 30, 54, 61]"
nextgqa:2562087639:2,nextgqa,mdp3_8,"[0, 13, 15, 32, 38, 44, 47, 58]"
nextgqa:2562087639:2,nextgqa,plain_dpp_8,"[0, 9, 19, 26, 32, 44, 47, 49]"
nextgqa:2562087639:4,nextgqa,mdp3_8,"[7, 15, 24, 26, 29, 44, 47, 58]"
nextgqa:2562087639:4,nextgqa,plain_dpp_8,"[15, 21, 26, 32, 38, 44, 47, 58]"
nextgqa:2569826147:1,nextgqa,mdp3_8,"[0, 1, 2, 20, 35, 55, 57, 61]"
nextgqa:2569826147:1,nextgqa,plain_dpp_8,"[0, 2, 20, 44, 51, 55, 59, 61]"
nextgqa:2589833495:6,nextgqa,mdp3_8,"[1, 7, 9, 17, 20, 46, 55, 59]"
nextgqa:2589833495:6,nextgqa,plain_dpp_8,"[2, 7, 9, 36, 55, 58, 59, 60]"
nextgqa:2621535368:0,nextgqa,mdp3_8,"[1, 14, 16, 39, 43, 50, 51, 61]"
nextgqa:2621535368:0,nextgqa,plain_dpp_8,"[14, 16, 23, 39, 49, 51, 57, 61]"
nextgqa:2621535368:4,nextgqa,mdp3_8,"[1, 16, 24, 27, 39, 50, 51, 52]"
nextgqa:2621535368:4,nextgqa,plain_dpp_8,"[13, 16, 24, 39, 50, 51, 61, 63]"
nextgqa:2621535368:7,nextgqa,mdp3_8,"[1, 14, 16, 24, 49, 51, 52, 61]"
nextgqa:2621535368:7,nextgqa,plain_dpp_8,"[6, 14, 16, 24, 49, 51, 61, 63]"
nextgqa:2623063774:6,nextgqa,mdp3_8,"[5, 12, 21, 27, 43, 52, 55, 59]"
nextgqa:2623063774:6,nextgqa,plain_dpp_8,"[5, 9, 22, 27, 42, 44, 53, 59]"
nextgqa:2623764605:4,nextgqa,mdp3_8,"[0, 10, 12, 20, 24, 30, 37, 43]"
nextgqa:2623764605:4,nextgqa,plain_dpp_8,"[0, 10, 12, 15, 20, 24, 30, 43]"
nextgqa:2623764605:5,nextgqa,mdp3_8,"[9, 12, 14, 15, 20, 30, 37, 43]"
nextgqa:2623764605:5,nextgqa,plain_dpp_8,"[9, 12, 14, 15, 20, 30, 37, 49]"
nextgqa:2639225467:7,nextgqa,mdp3_8,"[2, 11, 16, 17, 40, 44, 55, 59]"
nextgqa:2639225467:7,nextgqa,plain_dpp_8,"[2, 6, 16, 17, 26, 40, 43, 59]"
nextgqa:2669597217:2,nextgqa,mdp3_8,"[0, 22, 31, 38, 39, 41, 50, 63]"
nextgqa:2669597217:2,nextgqa,plain_dpp_8,"[0, 22, 32, 38, 39, 41, 43, 63]"
nextgqa:2676529856:3,nextgqa,mdp3_8,"[3, 6, 9, 13, 21, 40, 58, 62]"
nextgqa:2676529856:3,nextgqa,plain_dpp_8,"[3, 9, 12, 13, 21, 28, 45, 61]"
nextgqa:2676529856:6,nextgqa,mdp3_8,"[6, 11, 13, 21, 25, 28, 47, 63]"
nextgqa:2676529856:6,nextgqa,plain_dpp_8,"[11, 13, 19, 21, 25, 28, 34, 63]"
nextgqa:2676529856:7,nextgqa,mdp3_8,"[11, 13, 21, 24, 25, 28, 31, 61]"
nextgqa:2676529856:7,nextgqa,plain_dpp_8,"[11, 13, 21, 24, 25, 28, 31, 63]"
nextgqa:2679006680:7,nextgqa,mdp3_8,"[0, 6, 10, 22, 23, 43, 53, 59]"
nextgqa:2679006680:7,nextgqa,plain_dpp_8,"[0, 6, 8, 10, 21, 23, 53, 62]"
nextgqa:2744507539:7,nextgqa,mdp3_8,"[0, 22, 46, 49, 50, 52, 53, 54]"
nextgqa:2744507539:7,nextgqa,plain_dpp_8,"[0, 21, 46, 49, 50, 52, 53, 54]"
nextgqa:2758135371:0,nextgqa,mdp3_8,"[12, 14, 20, 30, 33, 42, 47, 53]"
nextgqa:2758135371:0,nextgqa,plain_dpp_8,"[12, 14, 20, 33, 39, 42, 47, 53]"
nextgqa:2758135371:1,nextgqa,mdp3_8,"[12, 30, 33, 38, 39, 47, 50, 55]"
nextgqa:2758135371:1,nextgqa,plain_dpp_8,"[33, 38, 39, 46, 47, 50, 53, 55]"
nextgqa:2779111829:4,nextgqa,mdp3_8,"[3, 6, 28, 33, 37, 49, 55, 59]"
nextgqa:2779111829:4,nextgqa,plain_dpp_8,"[7, 33, 34, 37, 49, 50, 56, 59]"
nextgqa:2779111829:9,nextgqa,mdp3_8,"[4, 9, 14, 41, 44, 52, 61, 62]"
nextgqa:2779111829:9,nextgqa,plain_dpp_8,"[3, 9, 14, 41, 44, 52, 61, 62]"
nextgqa:2794873229:3,nextgqa,mdp3_8,"[11, 20, 23, 31, 46, 49, 55, 56]"
nextgqa:2794873229:3,nextgqa,plain_dpp_8,"[0, 11, 20, 37, 44, 49, 54, 55]"
nextgqa:2811954360:1,nextgqa,mdp3_8,"[0, 10, 13, 23, 38, 46, 52, 57]"
nextgqa:2811954360:1,nextgqa,plain_dpp_8,"[0, 4, 13, 18, 34, 46, 52, 56]"
nextgqa:2811954360:2,nextgqa,mdp3_8,"[0, 10, 11, 13, 27, 37, 46, 56]"
nextgqa:2811954360:2,nextgqa,plain_dpp_8,"[0, 13, 18, 29, 34, 37, 46, 56]"
nextgqa:2811954360:4,nextgqa,mdp3_8,"[0, 4, 10, 13, 38, 45, 52, 56]"
nextgqa:2811954360:4,nextgqa,plain_dpp_8,"[0, 4, 9, 13, 34, 45, 52, 56]"
nextgqa:2818950014:0,nextgqa,mdp3_8,"[0, 12, 13, 26, 36, 39, 43, 48]"
nextgqa:2818950014:0,nextgqa,plain_dpp_8,"[5, 12, 13, 26, 36, 44, 47, 55]"
nextgqa:2818950014:2,nextgqa,mdp3_8,"[12, 39, 44, 47, 48, 50, 52, 59]"
nextgqa:2818950014:2,nextgqa,plain_dpp_8,"[12, 13, 29, 47, 48, 50, 52, 59]"
nextgqa:2822110402:5,nextgqa,mdp3_8,"[0, 8, 29, 37, 38, 50, 61, 62]"
nextgqa:2822110402:5,nextgqa,plain_dpp_8,"[4, 8, 13, 37, 38, 50, 61, 62]"
nextgqa:2828927371:1,nextgqa,mdp3_8,"[3, 9, 28, 29, 32, 36, 39, 52]"
nextgqa:2828927371:1,nextgqa,plain_dpp_8,"[2, 3, 10, 28, 29, 32, 36, 52]"
nextgqa:2851079460:4,nextgqa,mdp3_8,"[0, 1, 3, 5, 15, 23, 49, 63]"
nextgqa:2851079460:4,nextgqa,plain_dpp_8,"[0, 1, 3, 5, 15, 23, 44, 58]"
nextgqa:2876084443:7,nextgqa,mdp3_8,"[0, 6, 15, 18, 22, 30, 35, 62]"
nextgqa:2876084443:7,nextgqa,plain_dpp_8,"[0, 6, 12, 15, 18, 22, 30, 44]"
nextgqa:2876825076:8,nextgqa,mdp3_8,"[0, 4, 22, 31, 44, 46, 48, 56]"
nextgqa:2876825076:8,nextgqa,plain_dpp_8,"[0, 27, 33, 44, 46, 48, 50, 56]"
nextgqa:2891522362:4,nextgqa,mdp3_8,"[0, 2, 14, 20, 42, 46, 58, 61]"
nextgqa:2891522362:4,nextgqa,plain_dpp_8,"[0, 5, 23, 33, 43, 46, 55, 63]"
nextgqa:2925748611:2,nextgqa,mdp3_8,"[0, 12, 31, 36, 44, 51, 52, 56]"
nextgqa:2925748611:2,nextgqa,plain_dpp_8,"[0, 12, 15, 34, 44, 49, 52, 56]"
nextgqa:2925748611:8,nextgqa,mdp3_8,"[0, 4, 23, 31, 36, 41, 52, 57]"
nextgqa:2925748611:8,nextgqa,plain_dpp_8,"[0, 13, 33, 35, 40, 51, 52, 56]"
nextgqa:2927365215:1,nextgqa,mdp3_8,"[1, 14, 30, 37, 47, 51, 60, 63]"
nextgqa:2927365215:1,nextgqa,plain_dpp_8,"[1, 16, 30, 37, 43, 51, 61, 63]"
nextgqa:2930921250:3,nextgqa,mdp3_8,"[0, 1, 23, 30, 46, 60, 62, 63]"
nextgqa:2930921250:3,nextgqa,plain_dpp_8,"[0, 1, 2, 30, 46, 60, 62, 63]"
nextgqa:2956081853:6,nextgqa,mdp3_8,"[0, 3, 23, 30, 31, 48, 56, 63]"
nextgqa:2956081853:6,nextgqa,plain_dpp_8,"[0, 3, 23, 31, 38, 56, 62, 63]"
nextgqa:2956081853:7,nextgqa,mdp3_8,"[0, 3, 18, 26, 31, 56, 61, 63]"
nextgqa:2956081853:7,nextgqa,plain_dpp_8,"[0, 3, 23, 31, 40, 56, 62, 63]"
nextgqa:2965378944:8,nextgqa,mdp3_8,"[0, 9, 19, 22, 31, 44, 48, 60]"
nextgqa:2965378944:8,nextgqa,plain_dpp_8,"[0, 9, 19, 31, 33, 46, 48, 60]"
nextgqa:2971706210:7,nextgqa,mdp3_8,"[0, 19, 24, 30, 43, 46, 54, 56]"
nextgqa:2971706210:7,nextgqa,plain_dpp_8,"[0, 17, 22, 24, 30, 47, 54, 59]"
nextgqa:2976591964:3,nextgqa,mdp3_8,"[4, 11, 33, 36, 41, 49, 56, 57]"
nextgqa:2976591964:3,nextgqa,plain_dpp_8,"[4, 11, 23, 33, 41, 49, 56, 58]"
nextgqa:2976591964:5,nextgqa,mdp3_8,"[0, 11, 33, 35, 40, 42, 49, 57]"
nextgqa:2976591964:5,nextgqa,plain_dpp_8,"[4, 11, 15, 23, 33, 42, 49, 57]"
nextgqa:2982867777:9,nextgqa,mdp3_8,"[0, 2, 16, 19, 30, 35, 58, 63]"
nextgqa:2982867777:9,nextgqa,plain_dpp_8,"[0, 2, 9, 18, 25, 35, 58, 63]"
nextgqa:2996876993:6,nextgqa,mdp3_8,"[0, 3, 4, 5, 6, 41, 60, 63]"
nextgqa:2996876993:6,nextgqa,plain_dpp_8,"[0, 3, 4, 6, 41, 56, 60, 63]"
nextgqa:3003152116:3,nextgqa,mdp3_8,"[15, 17, 33, 40, 53, 56, 57, 61]"
nextgqa:3003152116:3,nextgqa,plain_dpp_8,"[16, 40, 41, 43, 53, 56, 57, 61]"
nextgqa:3020343223:9,nextgqa,mdp3_8,"[15, 18, 23, 31, 41, 43, 57, 59]"
nextgqa:3020343223:9,nextgqa,plain_dpp_8,"[18, 23, 31, 41, 43, 50, 57, 59]"
nextgqa:3057454440:1,nextgqa,mdp3_8,"[4, 18, 19, 22, 29, 31, 37, 53]"
nextgqa:3057454440:1,nextgqa,plain_dpp_8,"[5, 14, 19, 22, 29, 31, 33, 37]"
nextgqa:3060640279:3,nextgqa,mdp3_8,"[12, 18, 27, 31, 38, 52, 56, 60]"
nextgqa:3060640279:3,nextgqa,plain_dpp_8,"[3, 14, 18, 27, 38, 56, 60, 63]"
nextgqa:3060640279:5,nextgqa,mdp3_8,"[2, 3, 18, 27, 38, 57, 60, 63]"
nextgqa:3060640279:5,nextgqa,plain_dpp_8,"[2, 3, 18, 27, 38, 55, 60, 63]"
nextgqa:3065858527:5,nextgqa,mdp3_8,"[0, 4, 7, 9, 22, 32, 60, 62]"
nextgqa:3065858527:5,nextgqa,plain_dpp_8,"[4, 7, 9, 22, 35, 59, 60, 63]"
nextgqa:3068792452:0,nextgqa,mdp3_8,"[8, 15, 17, 27, 28, 51, 58, 63]"
nextgqa:3068792452:0,nextgqa,plain_dpp_8,"[11, 15, 17, 28, 55, 58, 62, 63]"
nextgqa:3081360150:8,nextgqa,mdp3_8,"[3, 6, 27, 32, 33, 44, 55, 59]"
nextgqa:3081360150:8,nextgqa,plain_dpp_8,"[3, 6, 27, 30, 33, 54, 55, 59]"
nextgqa:3089060111:5,nextgqa,mdp3_8,"[0, 3, 16, 19, 31, 48, 57, 63]"
nextgqa:3089060111:5,nextgqa,plain_dpp_8,"[0, 3, 14, 19, 34, 48, 57, 63]"
nextgqa:3098102850:4,nextgqa,mdp3_8,"[2, 5, 10, 25, 34, 40, 43, 57]"
nextgqa:3098102850:4,nextgqa,plain_dpp_8,"[0, 2, 5, 25, 40, 43, 48, 57]"
nextgqa:3111307977:4,nextgqa,mdp3_8,"[0, 3, 27, 31, 34, 39, 49, 59]"
nextgqa:3111307977:4,nextgqa,plain_dpp_8,"[0, 3, 7, 31, 39, 40, 42, 59]"
nextgqa:3121452683:3,nextgqa,mdp3_8,"[9, 13, 20, 30, 37, 49, 50, 59]"
nextgqa:3121452683:3,nextgqa,plain_dpp_8,"[9, 13, 21, 31, 49, 50, 59, 60]"
nextgqa:3141532836:4,nextgqa,mdp3_8,"[0, 2, 4, 29, 40, 42, 62, 63]"
nextgqa:3141532836:4,nextgqa,plain_dpp_8,"[1, 4, 29, 39, 42, 49, 62, 63]"
nextgqa:3167311763:7,nextgqa,mdp3_8,"[1, 3, 4, 27, 31, 41, 43, 44]"
nextgqa:3167311763:7,nextgqa,plain_dpp_8,"[1, 3, 6, 23, 34, 43, 44, 58]"
nextgqa:3172491020:7,nextgqa,mdp3_8,"[1, 2, 3, 13, 14, 34, 46, 47]"
nextgqa:3172491020:7,nextgqa,plain_dpp_8,"[1, 2, 3, 13, 14, 42, 46, 59]"
nextgqa:3180339331:3,nextgqa,mdp3_8,"[15, 18, 40, 43, 53, 58, 61, 62]"
nextgqa:3180339331:3,nextgqa,plain_dpp_8,"[15, 18, 40, 43, 55, 58, 61, 62]"
nextgqa:3183346596:4,nextgqa,mdp3_8,"[4, 5, 12, 26, 28, 32, 34, 56]"
nextgqa:3183346596:4,nextgqa,plain_dpp_8,"[0, 4, 5, 12, 26, 32, 36, 56]"
nextgqa:3201948915:2,nextgqa,mdp3_8,"[0, 8, 10, 14, 17, 19, 31, 40]"
nextgqa:3201948915:2,nextgqa,plain_dpp_8,"[0, 6, 8, 10, 14, 17, 19, 31]"
nextgqa:3201948915:4,nextgqa,mdp3_8,"[2, 6, 8, 10, 12, 17, 31, 34]"
nextgqa:3201948915:4,nextgqa,plain_dpp_8,"[2, 6, 8, 10, 12, 14, 17, 31]"
nextgqa:3204890216:5,nextgqa,mdp3_8,"[4, 28, 43, 45, 47, 49, 53, 62]"
nextgqa:3204890216:5,nextgqa,plain_dpp_8,"[4, 33, 44, 45, 47, 49, 52, 62]"
