model,benchmark,scheme,stratum,questions,source_videos,pair_context_records,absolute_gap,absolute_gap_ci_low,absolute_gap_ci_high,signed_evidence_interaction,signed_evidence_ci_low,signed_evidence_ci_high,evidence_negative_rate,evidence_negative_rate_ci_low,evidence_negative_rate_ci_high
perception_lm_8b,herbench,native,False Action Memory,72,30,432,0.3350494997351673,0.16248250870460956,0.5304927902437071,-0.10301622289836544,-0.323160096651357,0.09223996017539977,0.5881481481481482,0.5022222222222222,0.6768564814814815
qwen3_vl_32b,herbench,native,False Action Memory,72,30,432,0.5618425745897173,0.31805631960622444,0.8181389458648266,-0.020913180156762284,-0.34737470550253635,0.2840580596375891,0.4788888888888889,0.4014814814814815,0.5548148148148149
qwen3_vl_4b,herbench,native,False Action Memory,72,30,432,0.4012041481280844,0.08843174780844569,0.6586403816902674,-0.21809752447470515,-0.4833806857600605,0.04322780271910256,0.5168518518518518,0.4390694444444444,0.5907407407407407
videollama3_7b,herbench,native,False Action Memory,72,30,432,0.01565832797023985,0.00102875189083042,0.0306421802845542,-0.011976689665957736,-0.031425156437067524,0.008003766324578035,0.5764814814814815,0.494625,0.6548148148148148
internvl35_38b,herbench,native,False Object Memory,73,29,438,0.33087581104181457,0.18221452232697352,0.5161877830461973,-0.29334210149133827,-0.5217584786787843,-0.11325244896890423,0.6308429118773946,0.5586159003831418,0.7059434865900384
internvl35_8b,herbench,native,False Object Memory,73,29,438,0.23329533758426935,0.12045606287713681,0.3562098432826575,-0.19467051085084675,-0.3061007132338203,-0.08895422613112636,0.6162835249042145,0.5488505747126438,0.6848659003831417
perception_lm_8b,herbench,native,False Object Memory,73,29,438,0.3653178994213783,0.22057402305871915,0.5335920832737417,-0.23743137185269134,-0.4178672484434085,-0.08279128256063448,0.5277777777777779,0.45440613026819926,0.6057567049808428
qwen3_vl_32b,herbench,native,False Object Memory,73,29,438,0.5355292273138399,0.31417386342242565,0.8017139139537215,-0.41063305819456586,-0.7605690218955511,-0.09545635225680911,0.5595785440613027,0.46551724137931033,0.6536494252873563
qwen3_vl_4b,herbench,native,False Object Memory,73,29,438,0.7356120146113854,0.5137628405451392,0.973708847538297,-0.2396105593509663,-0.6125531082007123,0.1316023938400065,0.5386973180076627,0.4655172413793104,0.6090086206896553
videollama3_7b,herbench,native,False Object Memory,73,29,438,0.018408411969627,-5.2087122424579884e-05,0.038887512873558475,-0.033126683501790766,-0.059994100928734785,-0.010173954571814947,0.5994252873563218,0.5331417624521073,0.6626436781609195
internvl35_38b,herbench,native,Scene Verification & Arrangement,150,18,900,0.35264545680139436,0.26443734495861043,0.44648642177787085,0.12142888750803725,0.04285688012321089,0.20619696665968032,0.4264650472983806,0.3645648114745337,0.4896232329912885
internvl35_8b,herbench,native,Scene Verification & Arrangement,150,18,900,0.2092692667067555,0.16220987699734568,0.2616198495832147,0.0801847222261949,-0.007996016847629753,0.1775407848319395,0.4702274063385175,0.41310985182512955,0.5270791412805302
perception_lm_8b,herbench,native,Scene Verification & Arrangement,150,18,900,0.15649379403016248,0.12196593484620918,0.19347312845730075,0.006264994150905223,-0.04233311962038633,0.0553486906062132,0.48313492063492064,0.44740445125861794,0.5194670414462081
qwen3_vl_32b,herbench,native,Scene Verification & Arrangement,150,18,900,0.8268622208690415,0.6187516546494755,1.0614492579852206,-0.2190321749822971,-0.4105747877361113,-0.029196105876714645,0.6150593233926567,0.5676322250280583,0.6636304179359734
qwen3_vl_4b,herbench,native,Scene Verification & Arrangement,150,18,900,0.7184809550102339,0.47532227239962277,0.9825970368777067,-0.023632103720916214,-0.2591483348755305,0.23110261604248133,0.5257782855005076,0.4772327441077441,0.5712604884827107
videollama3_7b,herbench,native,Scene Verification & Arrangement,150,18,900,0.06477883627907896,0.03232428009582602,0.10334845835541054,-0.03687012411917201,-0.08710504319470225,0.0022719075761169047,0.5179673721340388,0.472909802388969,0.566182743439688
internvl35_38b,herbench,native,Temporal Shot Ordering,69,17,414,0.264610389532026,0.17332171565419371,0.37257283478982256,0.1690629981509384,0.03448271178676977,0.327053361430683,0.43272642390289445,0.3679680205415499,0.4990732959850606
internvl35_8b,herbench,native,Temporal Shot Ordering,69,17,414,0.27251940933686897,0.1950462860194144,0.35680746558013077,0.04627854103745577,-0.11366029096611203,0.20622076103996878,0.40387488328664795,0.3055088702147526,0.500187908496732
perception_lm_8b,herbench,native,Temporal Shot Ordering,69,17,414,0.18786471593350232,0.09040329417090427,0.2907987469999401,0.13597799516335152,0.0399885731698453,0.24468092847539175,0.4408029878618114,0.37385504201680675,0.5022875816993464
qwen3_vl_32b,herbench,native,Temporal Shot Ordering,69,17,414,0.45413174426772207,0.3510114784242746,0.565423504520299,0.4164316864580828,0.22331734051079558,0.6072529416433338,0.3554154995331466,0.29561157796451915,0.4163398692810457
qwen3_vl_4b,herbench,native,Temporal Shot Ordering,69,17,414,0.3750165160993233,0.25444661629282317,0.5104137321996663,0.37053557605484794,0.23283634396774575,0.5194257518918568,0.3734827264239029,0.3042460317460317,0.45065359477124184
videollama3_7b,herbench,native,Temporal Shot Ordering,69,17,414,0.013636782402250946,0.0005469378618911333,0.022867236835629887,0.003960129533077822,-0.0125420997979469,0.019226503759173858,0.46367880485527546,0.40163398692810454,0.5331944444444443
internvl35_38b,lvbench,tag_present,entity recognition,208,88,1248,0.737795850533027,0.5398716141686273,0.9670071473413548,-0.4780221004279408,-0.7457675522665699,-0.23617812962612017,0.5582070707070707,0.4977272727272727,0.6201388888888888
internvl35_8b,lvbench,tag_present,entity recognition,208,88,1248,0.7276890661252114,0.5381731763122563,0.934543364815915,-0.46762073341582533,-0.7093637131474593,-0.24069756401679104,0.5884469696969696,0.5268939393939394,0.6499999999999999
perception_lm_8b,lvbench,tag_present,entity recognition,208,88,1248,0.8093165375603942,0.5725379652654955,1.074409677659789,-0.6349056398969536,-0.9282538206934419,-0.3764901871720699,0.5900252525252525,0.5340893308080807,0.6469081439393939
qwen3_vl_32b,lvbench,tag_present,entity recognition,208,88,1248,2.4992398835753993,1.880535452793757,3.175951335882641,-1.9642136267846624,-2.7106611108761878,-1.25788115443394,0.6152146464646464,0.560981691919192,0.6683112373737374
qwen3_vl_4b,lvbench,tag_present,entity recognition,208,88,1248,1.9899070127200227,1.4788596057313352,2.5673661476679475,-1.3568532486265938,-2.03540925010891,-0.7402524677459895,0.5858585858585859,0.5337736742424242,0.6373737373737374
videollama3_7b,lvbench,tag_present,entity recognition,208,88,1248,0.2918402700983646,0.2141369132785658,0.3746559394364694,-0.26611553239036406,-0.3608828108841518,-0.17535829145403997,0.6015151515151514,0.5442534722222221,0.6566319444444444
internvl35_38b,lvbench,tag_present,event understanding,193,87,1158,0.4089563642388234,0.27990356741253325,0.5534279886630317,-0.1940799972072298,-0.3542111233739567,-0.03938150291220093,0.5405491698595147,0.4849936143039592,0.5958492975734355
internvl35_8b,lvbench,tag_present,event understanding,193,87,1158,0.47593780877883995,0.32703868584151335,0.6444110831912415,-0.3158703301404695,-0.5003772420355155,-0.14647356789670482,0.5574074074074074,0.4971232439335887,0.6172429757343552
perception_lm_8b,lvbench,tag_present,event understanding,193,87,1158,0.5180356134455442,0.3662915297254877,0.6884836536836968,-0.37154989997255905,-0.5609278701740794,-0.19076583252586415,0.5863346104725414,0.5262436143039592,0.6446360153256705
qwen3_vl_32b,lvbench,tag_present,event understanding,193,87,1158,1.4961445750274665,1.094069470120664,1.9410392152178229,-1.0965173431584254,-1.6200427651058014,-0.6143529551043114,0.6090676883780332,0.5493598339719029,0.6674345466155811
qwen3_vl_4b,lvbench,tag_present,event understanding,193,87,1158,1.1875640102901805,0.867008612940465,1.5481057799728826,-0.6181278730145238,-1.035038322578128,-0.19543014478968562,0.5697318007662834,0.5124521072796935,0.6247158365261813
videollama3_7b,lvbench,tag_present,event understanding,193,87,1158,0.15683962715727826,0.10663703916851895,0.21319955605202645,-0.12701394976179756,-0.19308017759471194,-0.06454240305308197,0.548978288633461,0.49501596424010214,0.6023036398467433
internvl35_38b,lvbench,tag_present,key information retrieval,90,52,540,1.0432632377994042,0.6635526184568451,1.4594019550565653,-0.6603962027382851,-1.1341859854665206,-0.24203448466037472,0.5564713064713065,0.47398580586080585,0.6387393162393163
internvl35_8b,lvbench,tag_present,key information retrieval,90,52,540,1.0691515849548876,0.6979128233065637,1.4872907065654553,-0.7221920851214404,-1.2101517593902742,-0.286262657630408,0.5880341880341879,0.4918803418803419,0.680566239316239
perception_lm_8b,lvbench,tag_present,key information retrieval,90,52,540,0.8562126151236475,0.5040561417360592,1.2932564681971324,-0.6305657731438239,-1.1206529003237415,-0.23163335697567186,0.6403846153846154,0.5531997863247862,0.7222222222222221
qwen3_vl_32b,lvbench,tag_present,key information retrieval,90,52,540,3.411079841901656,2.3083445905292104,4.664944999027233,-2.7861737565303457,-4.159563148693131,-1.5427374654461792,0.6043345543345543,0.5066239316239316,0.6999999999999997
qwen3_vl_4b,lvbench,tag_present,key information retrieval,90,52,540,2.2868318510320322,1.5213980258844648,3.1868263215406585,-1.8529851312237327,-2.84422267474903,-0.9806469439432716,0.6394078144078145,0.5520123626373625,0.7222245115995115
videollama3_7b,lvbench,tag_present,key information retrieval,90,52,540,0.3167417691748758,0.21319907976098365,0.4404327986906853,-0.2082836407068457,-0.36784659868714054,-0.062005282025323745,0.567032967032967,0.47829670329670326,0.6526587301587301
internvl35_38b,lvbench,tag_present,reasoning,58,43,348,0.6591315825490435,0.3594743720860914,1.005062806091046,-0.0729345409715305,-0.46636295137180606,0.3024031407054233,0.5064599483204134,0.4250645994832041,0.5891472868217054
internvl35_8b,lvbench,tag_present,reasoning,58,43,348,0.7036784693154444,0.3661164614051061,1.1185153327603095,-0.16128285766581618,-0.6388708817359171,0.2642429632011626,0.46640826873385,0.3682170542635659,0.5697674418604651
perception_lm_8b,lvbench,tag_present,reasoning,58,43,348,0.5198346488212976,0.2569352600398098,0.8762191693527633,-0.241690743873178,-0.620544561425402,0.06364069192002152,0.5439276485788113,0.44186046511627897,0.6459948320413437
qwen3_vl_32b,lvbench,tag_present,reasoning,58,43,348,1.2995108445030061,0.7931543430692378,1.8828134797692095,-0.22723417405141255,-0.9747461639942375,0.4314081878069981,0.4664082687338501,0.3630490956072352,0.5684754521963824
qwen3_vl_4b,lvbench,tag_present,reasoning,58,43,348,1.0811632769405195,0.6956615302581992,1.5026972694941352,0.14796867635629368,-0.4038962709250044,0.6796197637510862,0.44186046511627897,0.3436692506459948,0.5400516795865633
videollama3_7b,lvbench,tag_present,reasoning,58,43,348,0.16059068358293915,0.06929622555878953,0.26987960048871795,-0.05290145614697026,-0.18095399779520296,0.05662305403310679,0.4844961240310077,0.3863049095607235,0.5839793281653746
internvl35_38b,lvbench,tag_present,summarization,13,10,78,0.19817016744054855,-0.009516506242022542,0.5082775941211731,0.18475876214603582,-0.07197048370726405,0.532966621192172,0.375,0.2333333333333333,0.5083333333333334
internvl35_8b,lvbench,tag_present,summarization,13,10,78,0.24388172253966336,0.026166920028626937,0.5887657215446234,0.15861279489472507,-0.13563178398413583,0.6192515438787328,0.55,0.3333333333333333,0.75
perception_lm_8b,lvbench,tag_present,summarization,13,10,78,0.2641365312942071,0.07616622243294843,0.4723478581932188,-0.1299437791138189,-0.3652859986102218,0.10348605451484505,0.5416666666666667,0.37499999999999994,0.7
qwen3_vl_32b,lvbench,tag_present,summarization,13,10,78,0.6874493158778932,0.09199199935266132,1.3643825078487863,-0.05616352191985545,-0.5128096632618144,0.35516100029173686,0.4833333333333332,0.3333333333333333,0.65
qwen3_vl_4b,lvbench,tag_present,summarization,13,10,78,0.6264845460689685,0.24918718042783436,1.072266394119985,0.14058323942954307,-0.47376163254977044,0.787114125537288,0.5083333333333333,0.3083333333333333,0.7166666666666667
videollama3_7b,lvbench,tag_present,summarization,13,10,78,0.016216565668582917,-0.024478905238211154,0.058301341074208375,0.03593474427858988,-0.025528460678954916,0.10128179089476665,0.4583333333333333,0.23333333333333334,0.6666666666666666
internvl35_38b,lvbench,tag_present,temporal grounding,67,43,402,0.5841412380464734,0.2933771800570803,0.9591218043079804,-0.42206861490558367,-0.832970569526244,-0.09652936542024461,0.5594315245478035,0.46899224806201545,0.6459948320413437
internvl35_8b,lvbench,tag_present,temporal grounding,67,43,402,0.36876777298552593,0.20739339002573837,0.5672105639664138,-0.2633708940330044,-0.4901186816433624,-0.0679060172584244,0.5717054263565892,0.49935400516795875,0.6421188630490955
perception_lm_8b,lvbench,tag_present,temporal grounding,67,43,402,0.47497917067079076,0.24259167187129568,0.7727459851353401,-0.40666758731445557,-0.7433666606122982,-0.13296966152377165,0.5839793281653747,0.4948320413436692,0.6705426356589148
qwen3_vl_32b,lvbench,tag_present,temporal grounding,67,43,402,1.324769727732447,0.8338962638501014,1.8740544860547403,-0.9732073688928968,-1.6285391200095605,-0.347992443651559,0.539405684754522,0.45025839793281663,0.6266311369509042
qwen3_vl_4b,lvbench,tag_present,temporal grounding,67,43,402,1.2530435591037252,0.7429479465160993,1.892755140378824,-0.9651067835964761,-1.6738939350831252,-0.34882747590983415,0.5775193798449613,0.4883720930232558,0.6666666666666666
videollama3_7b,lvbench,tag_present,temporal grounding,67,43,402,0.1566659790019743,0.08585327517899122,0.24097065996089573,-0.12259394943098074,-0.2253344433798481,-0.03480883313689469,0.5891472868217054,0.4935400516795865,0.6821705426356589
internvl35_38b,nextgqa,coarse,causal,284,246,1704,0.35733188919591713,0.26541193498788895,0.4595726521258221,-0.2688604827930002,-0.3864068530557203,-0.15778092743951685,0.5404245709123757,0.502710027100271,0.5774616079494128
internvl35_8b,nextgqa,coarse,causal,284,246,1704,0.3366653302669335,0.25000367168328885,0.4277229512584269,-0.19014112029384625,-0.3027850166470714,-0.08481527092516354,0.5074525745257452,0.4686088527551942,0.546973803071364
perception_lm_8b,nextgqa,coarse,causal,284,246,1704,0.3304293792060931,0.2350763024848755,0.4360783545746943,-0.3306452889941293,-0.4576614518708753,-0.21286638420472775,0.5937217705510388,0.5532971996386631,0.6332429990966576
qwen3_vl_32b,nextgqa,coarse,causal,284,246,1704,0.7683052215807051,0.5959499979228045,0.9590632234861243,-0.6518230130733894,-0.8823706840268513,-0.428443772586944,0.591237579042457,0.5501355013550134,0.6327913279132791
qwen3_vl_4b,nextgqa,coarse,causal,284,246,1704,0.8115873676295419,0.6259764820452558,1.0116828962694115,-0.5872875277659176,-0.8366919346710332,-0.34552565535715973,0.5521680216802167,0.5133186540198734,0.5916892502258355
videollama3_7b,nextgqa,coarse,causal,284,246,1704,0.08047974316883652,0.05751124193619301,0.10672546184672019,-0.07110676422669757,-0.10197870688897924,-0.04307463006562341,0.568654019873532,0.5286754742547425,0.6079550587172537
internvl35_38b,nextgqa,coarse,temporal,203,182,1218,0.6281551084682647,0.47667935063751843,0.7871580015463344,-0.5535387773594039,-0.7532039573609334,-0.3732406991497296,0.6098901098901099,0.5659340659340659,0.6547619047619047
internvl35_8b,nextgqa,coarse,temporal,203,182,1218,0.41787355605470566,0.301335226778383,0.5513107909857857,-0.351424804514755,-0.5120316940474684,-0.20311879512017986,0.553113553113553,0.5064102564102564,0.5989010989010989
perception_lm_8b,nextgqa,coarse,temporal,203,182,1218,0.563616133343523,0.41283964599834677,0.7397861605122321,-0.4846509122980179,-0.6838255210933387,-0.2979871872005042,0.5723443223443224,0.5256410256410255,0.6190476190476191
qwen3_vl_32b,nextgqa,coarse,temporal,203,182,1218,1.1537010748389769,0.8769249334756392,1.4418616069609784,-0.8231463575521001,-1.1740854907291223,-0.478955997986278,0.5842490842490843,0.5393772893772893,0.6272893772893773
qwen3_vl_4b,nextgqa,coarse,temporal,203,182,1218,1.1349812436848963,0.8430609051713227,1.455177405640248,-0.8852714329342902,-1.2510981850534226,-0.5491830342862267,0.5604395604395604,0.5173763736263736,0.6034798534798534
videollama3_7b,nextgqa,coarse,temporal,203,182,1218,0.11060435254631679,0.06886075348942967,0.15878855527631064,-0.12077555741650826,-0.17269611804346952,-0.07544473328119342,0.5851648351648352,0.5393772893772893,0.63003663003663
internvl35_38b,nextgqa,native,CH,69,67,414,0.3596341984340523,0.21152145599332525,0.5321651140535024,-0.29732869441792015,-0.5141049912193628,-0.10929040224430166,0.5696517412935324,0.5024875621890547,0.6343283582089553
internvl35_8b,nextgqa,native,CH,69,67,414,0.3096148896005508,0.18200301258959184,0.458050511812497,-0.04017591302420385,-0.22596686244068936,0.1314129995285048,0.46268656716417905,0.38308457711442784,0.5373134328358209
perception_lm_8b,nextgqa,native,CH,69,67,414,0.32445492054622393,0.14928573001238377,0.5446366556494461,-0.31902333742576705,-0.5803842178549258,-0.10785445069244282,0.6119402985074627,0.5422885572139304,0.6766169154228856
qwen3_vl_32b,nextgqa,native,CH,69,67,414,0.8416357331711145,0.5457363160422188,1.1664644284692276,-0.5523150330674896,-0.9319726704891258,-0.20289441951533746,0.599502487562189,0.5199004975124377,0.6766169154228856
qwen3_vl_4b,nextgqa,native,CH,69,67,414,0.8748475388611457,0.5348832018196833,1.2933912124739992,-0.5115765975877785,-1.0331997255033307,-0.062335529613184976,0.5373134328358209,0.46268656716417905,0.6119402985074627
videollama3_7b,nextgqa,native,CH,69,67,414,0.09735266180171526,0.03932218784848644,0.16803297734221637,-0.09591385942017336,-0.17358520640452987,-0.03208210320462153,0.5820895522388061,0.5024253731343282,0.6616915422885571
internvl35_38b,nextgqa,native,CW,215,190,1290,0.36894902893383563,0.2508709711980297,0.49302223556241204,-0.26589653839279986,-0.41671209166805473,-0.1283813788954109,0.5260233918128655,0.48157894736842105,0.5701754385964912
internvl35_8b,nextgqa,native,CW,215,190,1290,0.35445140951691156,0.2484301687927353,0.4771226250448032,-0.23997343104811705,-0.38411224015196993,-0.10863338152093849,0.5184210526315789,0.47368421052631576,0.5637426900584795
perception_lm_8b,nextgqa,native,CW,215,190,1290,0.3537675999984422,0.23081551743832757,0.49830979497122585,-0.36330062468155566,-0.5245783279230848,-0.2184861540244921,0.5906432748538012,0.5432748538011696,0.6383114035087718
qwen3_vl_32b,nextgqa,native,CW,215,190,1290,0.7524759975995077,0.5402668152118788,0.983071889612154,-0.6700016431419629,-0.9600985487936592,-0.4032913263945223,0.5859649122807018,0.537719298245614,0.6342105263157894
qwen3_vl_4b,nextgqa,native,CW,215,190,1290,0.8112000756688674,0.5966178501173643,1.0527162559177003,-0.6134134700135119,-0.9014653556468182,-0.3441823450312107,0.5532163742690058,0.5055482456140351,0.5997076023391813
videollama3_7b,nextgqa,native,CW,215,190,1290,0.0752252563975795,0.05123795835982071,0.1018013193307319,-0.06288881496940223,-0.09485968388347447,-0.03319735696627106,0.5614035087719298,0.5160818713450294,0.6055555555555555
internvl35_38b,nextgqa,native,TC,74,70,444,0.7294108748346562,0.4419393838667822,1.0524127041075002,-0.5314529061699237,-0.9113725705279401,-0.17758553491305695,0.6095238095238096,0.5333333333333333,0.6833333333333333
internvl35_8b,nextgqa,native,TC,74,70,444,0.4957630352418972,0.25552009653800645,0.7791064434379057,-0.34574859049711026,-0.6625318285072824,-0.05350248019567314,0.5857142857142856,0.511904761904762,0.657142857142857
perception_lm_8b,nextgqa,native,TC,74,70,444,0.6042816680993837,0.29940870286083743,0.9681653075236235,-0.5408781381793452,-0.9442636307823259,-0.18890424333088257,0.5642857142857143,0.48565476190476187,0.6452380952380952
qwen3_vl_32b,nextgqa,native,TC,74,70,444,1.367475743356129,0.8482921985095112,1.9353361581281123,-0.9792856629250053,-1.670693230642263,-0.3486898647687547,0.592857142857143,0.5166666666666667,0.6642857142857144
qwen3_vl_4b,nextgqa,native,TC,74,70,444,1.2055180570448025,0.6666269491429402,1.8445464022404847,-1.0104350740382402,-1.7227510960948076,-0.4074407223733157,0.530952380952381,0.4571428571428571,0.6047619047619046
videollama3_7b,nextgqa,native,TC,74,70,444,0.1311823754615727,0.051686321194283666,0.23064384298820392,-0.15798931865110286,-0.26460694154170117,-0.07686905563520717,0.6261904761904763,0.5523809523809523,0.6999999999999998
internvl35_38b,nextgqa,native,TN,121,117,726,0.5208737567378848,0.35587854697397653,0.6975876572820595,-0.4966240398815111,-0.7085889069148389,-0.3022499060275551,0.6054131054131054,0.5512820512820512,0.6581196581196582
internvl35_8b,nextgqa,native,TN,121,117,726,0.3467915399399684,0.2348031108435524,0.4687319505693255,-0.3471929320172677,-0.5037837311496202,-0.19861405516154923,0.5427350427350427,0.4843304843304843,0.5997150997150997
perception_lm_8b,nextgqa,native,TN,121,117,726,0.48944902468410634,0.34152905802789263,0.6639860911904724,-0.41886381168912873,-0.6306407183585251,-0.22980047228483327,0.5712250712250713,0.5128205128205128,0.6296296296296297
qwen3_vl_32b,nextgqa,native,TN,121,117,726,1.0197677198951158,0.7059073757335911,1.3645147069054,-0.7265044535254751,-1.1271415507969107,-0.3598322387390683,0.5811965811965811,0.5242165242165241,0.6382122507122504
qwen3_vl_4b,nextgqa,native,TN,121,117,726,0.996059105533067,0.6767581768974554,1.3411642319570305,-0.7535091678848065,-1.1528280575701595,-0.3751486311633771,0.5726495726495727,0.51994301994302,0.6267806267806268
videollama3_7b,nextgqa,native,TN,121,117,726,0.09818949088178298,0.05614119596524625,0.14610967885137685,-0.09550636503686252,-0.147932155702019,-0.04847854939912925,0.5541310541310541,0.49715099715099714,0.6096866096866098
internvl35_38b,nextgqa,native,TP,8,8,48,0.6048494955199429,0.11179054168436175,1.1560060003877957,-0.5821671001840135,-1.2709793231096673,0.06000704892721842,0.5416666666666666,0.3333333333333333,0.7083333333333333
internvl35_8b,nextgqa,native,TP,8,8,48,0.2557527276394467,0.09834717534152634,0.46232112918065316,0.0012924542573576336,-0.39510549125172933,0.3448326163285552,0.37499999999999994,0.08333333333333333,0.6666666666666666
perception_lm_8b,nextgqa,native,TP,8,8,48,0.7156474684425879,0.1982321292028549,1.4634987434358209,-0.6315537307386118,-1.412090654591566,-0.12015964971578796,0.7083333333333333,0.6666666666666666,0.7916666666666666
qwen3_vl_32b,nextgqa,native,TP,8,8,48,0.41686628291080907,-0.22327481248049594,0.970196033839139,-0.23463114788442788,-1.080858450156745,0.6154711324209267,0.5416666666666666,0.3333333333333333,0.75
qwen3_vl_4b,nextgqa,native,TP,8,8,48,1.0894294663286435,0.35712408772087656,2.0523464768130943,-0.8126339169607301,-2.074855778468248,0.27205225489442453,0.5,0.25,0.75
videollama3_7b,nextgqa,native,TP,8,8,48,0.0584849218527476,-0.029494315028811488,0.15063930923740068,-0.11191522236913443,-0.17558992983928573,-0.04670831351540984,0.7083333333333333,0.5833333333333333,0.8333333333333333
