model,benchmark,condition,metric,source_video_clusters,equal_video_mean
internvl35_38b,nextgqa,plain_dpp_8,correct,380,0.8368421052631579
internvl35_38b,nextgqa,random8,gold_vs_rest_logodds,380,3.563401937934071
internvl35_38b,nextgqa,random8,correct,380,0.8100877192982457
internvl35_38b,nextgqa,siglip_dino_submodular8,gold_vs_rest_logodds,380,3.6657878471679894
internvl35_38b,nextgqa,siglip_dino_submodular8,correct,380,0.8291666666666667
internvl35_38b,nextgqa,siglip_relevance8,gold_vs_rest_logodds,380,3.65616490373953
internvl35_38b,nextgqa,siglip_relevance8,correct,380,0.8094298245614036
internvl35_38b,nextgqa,uniform8,gold_vs_rest_logodds,380,3.6063012546610382
internvl35_38b,nextgqa,uniform8,correct,380,0.8239035087719297
internvl35_8b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-0.5869785255064361
internvl35_8b,herbench,aks_fixedk8,correct,49,0.479809985932435
internvl35_8b,herbench,bolt_its8,gold_vs_rest_logodds,49,-0.5233613785265072
internvl35_8b,herbench,bolt_its8,correct,49,0.5061941459900644
internvl35_8b,herbench,dino_change8,gold_vs_rest_logodds,49,-0.5862617077788933
internvl35_8b,herbench,dino_change8,correct,49,0.48676391635575317
internvl35_8b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-0.5464800045632993
internvl35_8b,herbench,dino_diversity8,correct,49,0.5189234801479701
internvl35_8b,herbench,mdp3_8,gold_vs_rest_logodds,49,-0.6128379629963406
internvl35_8b,herbench,mdp3_8,correct,49,0.4885622314193742
internvl35_8b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-0.6734692143651158
internvl35_8b,herbench,plain_dpp_8,correct,49,0.4741934652648938
internvl35_8b,herbench,random8,gold_vs_rest_logodds,49,-0.5875211365682824
internvl35_8b,herbench,random8,correct,49,0.5049473768861523
internvl35_8b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-0.6148618387317146
internvl35_8b,herbench,siglip_dino_submodular8,correct,49,0.46326502295890054
internvl35_8b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-0.5869785255064361
internvl35_8b,herbench,siglip_relevance8,correct,49,0.479809985932435
internvl35_8b,herbench,uniform8,gold_vs_rest_logodds,49,-0.6716329044214476
internvl35_8b,herbench,uniform8,correct,49,0.48788951977727485
internvl35_8b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-0.606166979648879
internvl35_8b,lvbench,aks_fixedk8,correct,103,0.37896054862074274
internvl35_8b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-0.6550565378864263
internvl35_8b,lvbench,bolt_its8,correct,103,0.38648867313915863
internvl35_8b,lvbench,dino_change8,gold_vs_rest_logodds,103,-0.8733959001569201
internvl35_8b,lvbench,dino_change8,correct,103,0.3549699491447064
internvl35_8b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-0.9918467990580279
internvl35_8b,lvbench,dino_diversity8,correct,103,0.3450184928340268
internvl35_8b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-0.5264223408280017
internvl35_8b,lvbench,mdp3_8,correct,103,0.4051587301587301
internvl35_8b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-0.5603221797581219
internvl35_8b,lvbench,plain_dpp_8,correct,103,0.4077978116813069
internvl35_8b,lvbench,random8,gold_vs_rest_logodds,103,-0.8854795683290688
internvl35_8b,lvbench,random8,correct,103,0.3515950069348128
internvl35_8b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-0.6141130018116537
internvl35_8b,lvbench,siglip_dino_submodular8,correct,103,0.3932770842965018
internvl35_8b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-0.606166979648879
internvl35_8b,lvbench,siglip_relevance8,correct,103,0.37896054862074274
internvl35_8b,lvbench,uniform8,gold_vs_rest_logodds,103,-0.9735376117853642
internvl35_8b,lvbench,uniform8,correct,103,0.33062105100940054
internvl35_8b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,2.827530915457852
internvl35_8b,nextgqa,aks_fixedk8,correct,380,0.7535087719298247
internvl35_8b,nextgqa,bolt_its8,gold_vs_rest_logodds,380,2.9383403204965166
internvl35_8b,nextgqa,bolt_its8,correct,380,0.7813596491228069
internvl35_8b,nextgqa,dino_change8,gold_vs_rest_logodds,380,2.8372723382791145
internvl35_8b,nextgqa,dino_change8,correct,380,0.762061403508772
internvl35_8b,nextgqa,dino_diversity8,gold_vs_rest_logodds,380,2.7766390140583797
internvl35_8b,nextgqa,dino_diversity8,correct,380,0.7614035087719297
internvl35_8b,nextgqa,mdp3_8,gold_vs_rest_logodds,380,2.901365895853305
internvl35_8b,nextgqa,mdp3_8,correct,380,0.775
internvl35_8b,nextgqa,plain_dpp_8,gold_vs_rest_logodds,380,2.936517155996637
internvl35_8b,nextgqa,plain_dpp_8,correct,380,0.7747807017543858
internvl35_8b,nextgqa,random8,gold_vs_rest_logodds,380,2.828924508667177
internvl35_8b,nextgqa,random8,correct,380,0.7688596491228069
internvl35_8b,nextgqa,siglip_dino_submodular8,gold_vs_rest_logodds,380,2.8902669774127983
internvl35_8b,nextgqa,siglip_dino_submodular8,correct,380,0.7734649122807017
internvl35_8b,nextgqa,siglip_relevance8,gold_vs_rest_logodds,380,2.827530915457852
internvl35_8b,nextgqa,siglip_relevance8,correct,380,0.7535087719298247
internvl35_8b,nextgqa,uniform8,gold_vs_rest_logodds,380,2.8828267180484244
internvl35_8b,nextgqa,uniform8,correct,380,0.7828947368421053
perception_lm_8b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-1.6260099282761333
perception_lm_8b,herbench,aks_fixedk8,correct,49,0.3315310539800336
perception_lm_8b,herbench,bolt_its8,gold_vs_rest_logodds,49,-1.4552679304745129
perception_lm_8b,herbench,bolt_its8,correct,49,0.3438152833560997
perception_lm_8b,herbench,dino_change8,gold_vs_rest_logodds,49,-1.4802291778042755
perception_lm_8b,herbench,dino_change8,correct,49,0.3357435081924878
perception_lm_8b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-1.2612490762554638
perception_lm_8b,herbench,dino_diversity8,correct,49,0.36749497667865016
perception_lm_8b,herbench,mdp3_8,gold_vs_rest_logodds,49,-1.2646167894409988
perception_lm_8b,herbench,mdp3_8,correct,49,0.3582656006125394
perception_lm_8b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-1.2363608888840367
perception_lm_8b,herbench,plain_dpp_8,correct,49,0.358998597774108
perception_lm_8b,herbench,random8,gold_vs_rest_logodds,49,-1.3623153729835178
perception_lm_8b,herbench,random8,correct,49,0.3654103832675261
perception_lm_8b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-1.383557913937784
perception_lm_8b,herbench,siglip_dino_submodular8,correct,49,0.34268492278696355
perception_lm_8b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-1.6260099282761333
perception_lm_8b,herbench,siglip_relevance8,correct,49,0.3315310539800336
perception_lm_8b,herbench,uniform8,gold_vs_rest_logodds,49,-1.4577794474115229
perception_lm_8b,herbench,uniform8,correct,49,0.3283930921686024
perception_lm_8b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-0.6789653753117404
perception_lm_8b,lvbench,aks_fixedk8,correct,103,0.3994914470642626
perception_lm_8b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-0.656803111648131
perception_lm_8b,lvbench,bolt_its8,correct,103,0.4168092155956234
perception_lm_8b,lvbench,dino_change8,gold_vs_rest_logodds,103,-0.9240187460381657
perception_lm_8b,lvbench,dino_change8,correct,103,0.39313453536754506
perception_lm_8b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-1.149762222804471
perception_lm_8b,lvbench,dino_diversity8,correct,103,0.3353521343812606
perception_lm_8b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-0.575269019326103
perception_lm_8b,lvbench,mdp3_8,correct,103,0.4228925874556942
perception_lm_8b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-0.5605306980707975
perception_lm_8b,lvbench,plain_dpp_8,correct,103,0.41069116967175223
perception_lm_8b,lvbench,random8,gold_vs_rest_logodds,103,-0.88469279307181
perception_lm_8b,lvbench,random8,correct,103,0.36314147018030507
perception_lm_8b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-0.7081957941195974
perception_lm_8b,lvbench,siglip_dino_submodular8,correct,103,0.41386962552011103
perception_lm_8b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-0.6789653753117404
perception_lm_8b,lvbench,siglip_relevance8,correct,103,0.3994914470642626
perception_lm_8b,lvbench,uniform8,gold_vs_rest_logodds,103,-1.030502253843225
perception_lm_8b,lvbench,uniform8,correct,103,0.3869933734011404
perception_lm_8b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,3.2674310222047027
perception_lm_8b,nextgqa,aks_fixedk8,correct,380,0.7447368421052631
perception_lm_8b,nextgqa,bolt_its8,gold_vs_rest_logodds,380,3.4578612624103218
perception_lm_8b,nextgqa,bolt_its8,correct,380,0.7482456140350878
perception_lm_8b,nextgqa,dino_change8,gold_vs_rest_logodds,380,3.312350098534498
perception_lm_8b,nextgqa,dino_change8,correct,380,0.7416666666666668
perception_lm_8b,nextgqa,dino_diversity8,gold_vs_rest_logodds,380,3.283172915206041
perception_lm_8b,nextgqa,dino_diversity8,correct,380,0.7618421052631579
perception_lm_8b,nextgqa,mdp3_8,gold_vs_rest_logodds,380,3.493966832761798
perception_lm_8b,nextgqa,mdp3_8,correct,380,0.7625
perception_lm_8b,nextgqa,plain_dpp_8,gold_vs_rest_logodds,380,3.564653989930773
perception_lm_8b,nextgqa,plain_dpp_8,correct,380,0.76140350877193
perception_lm_8b,nextgqa,random8,gold_vs_rest_logodds,380,3.269480627572818
perception_lm_8b,nextgqa,random8,correct,380,0.7427631578947368
perception_lm_8b,nextgqa,siglip_dino_submodular8,gold_vs_rest_logodds,380,3.465533959900266
perception_lm_8b,nextgqa,siglip_dino_submodular8,correct,380,0.767982456140351
perception_lm_8b,nextgqa,siglip_relevance8,gold_vs_rest_logodds,380,3.2674310222047027
perception_lm_8b,nextgqa,siglip_relevance8,correct,380,0.7447368421052631
perception_lm_8b,nextgqa,uniform8,gold_vs_rest_logodds,380,3.264551143380271
perception_lm_8b,nextgqa,uniform8,correct,380,0.7464912280701753
qwen3_vl_32b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-0.3252561910505056
qwen3_vl_32b,herbench,aks_fixedk8,correct,49,0.5108142141305406
qwen3_vl_32b,herbench,bolt_its8,gold_vs_rest_logodds,49,-0.10960746758724216
qwen3_vl_32b,herbench,bolt_its8,correct,49,0.5255425413588679
qwen3_vl_32b,herbench,dino_change8,gold_vs_rest_logodds,49,-0.5672622780576398
qwen3_vl_32b,herbench,dino_change8,correct,49,0.47684999241121684
qwen3_vl_32b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-0.24763300205719196
qwen3_vl_32b,herbench,dino_diversity8,correct,49,0.5151321467647997
qwen3_vl_32b,herbench,mdp3_8,gold_vs_rest_logodds,49,-0.1386849072154853
qwen3_vl_32b,herbench,mdp3_8,correct,49,0.5315195858563206
qwen3_vl_32b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-0.23447882183282778
qwen3_vl_32b,herbench,plain_dpp_8,correct,49,0.5385534250330168
qwen3_vl_32b,herbench,random8,gold_vs_rest_logodds,49,-0.38963055536927016
qwen3_vl_32b,herbench,random8,correct,49,0.5049740225760633
qwen3_vl_32b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-0.36819627150465445
qwen3_vl_32b,herbench,siglip_dino_submodular8,correct,49,0.5141913358750093
qwen3_vl_32b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-0.3252561910505056
qwen3_vl_32b,herbench,siglip_relevance8,correct,49,0.5108142141305406
qwen3_vl_32b,herbench,uniform8,gold_vs_rest_logodds,49,-0.3690494893571947
qwen3_vl_32b,herbench,uniform8,correct,49,0.5076578466884589
qwen3_vl_32b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-0.35232425116425975
qwen3_vl_32b,lvbench,aks_fixedk8,correct,103,0.4468485128679304
qwen3_vl_32b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-0.729286784540111
qwen3_vl_32b,lvbench,bolt_its8,correct,103,0.4420789027585144
qwen3_vl_32b,lvbench,dino_change8,gold_vs_rest_logodds,103,-0.7923436690532201
qwen3_vl_32b,lvbench,dino_change8,correct,103,0.41393897364771154
qwen3_vl_32b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-1.1937256980560327
qwen3_vl_32b,lvbench,dino_diversity8,correct,103,0.39125057790106327
qwen3_vl_32b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-0.09253277546043738
qwen3_vl_32b,lvbench,mdp3_8,correct,103,0.43193096008629994
qwen3_vl_32b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-0.08654816577038901
qwen3_vl_32b,lvbench,plain_dpp_8,correct,103,0.4521652026506396
qwen3_vl_32b,lvbench,random8,gold_vs_rest_logodds,103,-1.0208094836556298
qwen3_vl_32b,lvbench,random8,correct,103,0.4050277392510403
qwen3_vl_32b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-0.5345306550273842
qwen3_vl_32b,lvbench,siglip_dino_submodular8,correct,103,0.43550238865772845
qwen3_vl_32b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-0.35232425116425975
qwen3_vl_32b,lvbench,siglip_relevance8,correct,103,0.4468485128679304
qwen3_vl_32b,lvbench,uniform8,gold_vs_rest_logodds,103,-0.9780952264287897
qwen3_vl_32b,lvbench,uniform8,correct,103,0.3945638773308677
qwen3_vl_32b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,6.680135166774752
qwen3_vl_32b,nextgqa,aks_fixedk8,correct,380,0.8179824561403509
qwen3_vl_32b,nextgqa,bolt_its8,gold_vs_rest_logodds,380,6.887685186151575
qwen3_vl_32b,nextgqa,bolt_its8,correct,380,0.7905701754385964
qwen3_vl_32b,nextgqa,dino_change8,gold_vs_rest_logodds,380,6.292967784542528
qwen3_vl_32b,nextgqa,dino_change8,correct,380,0.794517543859649
qwen3_vl_32b,nextgqa,dino_diversity8,gold_vs_rest_logodds,380,6.749927633399305
qwen3_vl_32b,nextgqa,dino_diversity8,correct,380,0.812938596491228
qwen3_vl_32b,nextgqa,mdp3_8,gold_vs_rest_logodds,380,7.061902294501717
qwen3_vl_32b,nextgqa,mdp3_8,correct,380,0.8282894736842106
qwen3_vl_32b,nextgqa,plain_dpp_8,gold_vs_rest_logodds,380,7.3583224912423315
qwen3_vl_32b,nextgqa,plain_dpp_8,correct,380,0.8337719298245615
qwen3_vl_32b,nextgqa,random8,gold_vs_rest_logodds,380,6.691944731818933
qwen3_vl_32b,nextgqa,random8,correct,380,0.7932017543859649
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,gold_vs_rest_logodds,380,7.099145222387661
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,correct,380,0.8269736842105263
qwen3_vl_32b,nextgqa,siglip_relevance8,gold_vs_rest_logodds,380,6.680135166774752
qwen3_vl_32b,nextgqa,siglip_relevance8,correct,380,0.8179824561403509
qwen3_vl_32b,nextgqa,uniform8,gold_vs_rest_logodds,380,6.845729374971505
qwen3_vl_32b,nextgqa,uniform8,correct,380,0.8263157894736842
qwen3_vl_4b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-0.8827132583050522
qwen3_vl_4b,herbench,aks_fixedk8,correct,49,0.5070424473485698
qwen3_vl_4b,herbench,bolt_its8,gold_vs_rest_logodds,49,-0.5015952887140038
qwen3_vl_4b,herbench,bolt_its8,correct,49,0.5279870922728066
qwen3_vl_4b,herbench,dino_change8,gold_vs_rest_logodds,49,-0.9073302113432676
qwen3_vl_4b,herbench,dino_change8,correct,49,0.5004669933241361
qwen3_vl_4b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-0.6735012289442022
qwen3_vl_4b,herbench,dino_diversity8,correct,49,0.5124068675089083
qwen3_vl_4b,herbench,mdp3_8,gold_vs_rest_logodds,49,-0.34637787339814263
qwen3_vl_4b,herbench,mdp3_8,correct,49,0.5273688896137876
qwen3_vl_4b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-0.3460673191866704
qwen3_vl_4b,herbench,plain_dpp_8,correct,49,0.5157404386996224
qwen3_vl_4b,herbench,random8,gold_vs_rest_logodds,49,-0.5889099285941358
qwen3_vl_4b,herbench,random8,correct,49,0.49598001205144066
qwen3_vl_4b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-0.6021914576805182
qwen3_vl_4b,herbench,siglip_dino_submodular8,correct,49,0.5219840533616044
qwen3_vl_4b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-0.8827132583050522
qwen3_vl_4b,herbench,siglip_relevance8,correct,49,0.5070424473485698
qwen3_vl_4b,herbench,uniform8,gold_vs_rest_logodds,49,-0.9169918008885791
qwen3_vl_4b,herbench,uniform8,correct,49,0.5002461823890395
qwen3_vl_4b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-0.7317328092307661
qwen3_vl_4b,lvbench,aks_fixedk8,correct,103,0.3969371243643088
qwen3_vl_4b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-0.7120914042300911
qwen3_vl_4b,lvbench,bolt_its8,correct,103,0.39842040376020965
qwen3_vl_4b,lvbench,dino_change8,gold_vs_rest_logodds,103,-0.9538005725785588
qwen3_vl_4b,lvbench,dino_change8,correct,103,0.369606256742179
qwen3_vl_4b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-1.4014443821438485
qwen3_vl_4b,lvbench,dino_diversity8,correct,103,0.3428687008784096
qwen3_vl_4b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-0.40827814368231524
qwen3_vl_4b,lvbench,mdp3_8,correct,103,0.44053012790876867
qwen3_vl_4b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-0.4576279417258854
qwen3_vl_4b,lvbench,plain_dpp_8,correct,103,0.42038449684080753
qwen3_vl_4b,lvbench,random8,gold_vs_rest_logodds,103,-1.222650024958437
qwen3_vl_4b,lvbench,random8,correct,103,0.3455886885498536
qwen3_vl_4b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-0.6542340191965342
qwen3_vl_4b,lvbench,siglip_dino_submodular8,correct,103,0.39169363538295576
qwen3_vl_4b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-0.7317328092307661
qwen3_vl_4b,lvbench,siglip_relevance8,correct,103,0.3969371243643088
qwen3_vl_4b,lvbench,uniform8,gold_vs_rest_logodds,103,-0.899805102895012
qwen3_vl_4b,lvbench,uniform8,correct,103,0.3689204808136847
qwen3_vl_4b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,4.474883131242706
qwen3_vl_4b,nextgqa,aks_fixedk8,correct,380,0.7074561403508773
qwen3_vl_4b,nextgqa,bolt_its8,gold_vs_rest_logodds,380,4.785576228460401
qwen3_vl_4b,nextgqa,bolt_its8,correct,380,0.7379385964912282
qwen3_vl_4b,nextgqa,dino_change8,gold_vs_rest_logodds,380,4.525962434368575
qwen3_vl_4b,nextgqa,dino_change8,correct,380,0.7234649122807018
qwen3_vl_4b,nextgqa,dino_diversity8,gold_vs_rest_logodds,380,4.811029008126359
qwen3_vl_4b,nextgqa,dino_diversity8,correct,380,0.744298245614035
qwen3_vl_4b,nextgqa,mdp3_8,gold_vs_rest_logodds,380,5.085892665458455
qwen3_vl_4b,nextgqa,mdp3_8,correct,380,0.7640350877192984
qwen3_vl_4b,nextgqa,plain_dpp_8,gold_vs_rest_logodds,380,5.239984909740675
qwen3_vl_4b,nextgqa,plain_dpp_8,correct,380,0.7607456140350878
qwen3_vl_4b,nextgqa,random8,gold_vs_rest_logodds,380,4.5814145912872855
qwen3_vl_4b,nextgqa,random8,correct,380,0.7232456140350878
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,gold_vs_rest_logodds,380,4.958327783915201
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,correct,380,0.7322368421052632
qwen3_vl_4b,nextgqa,siglip_relevance8,gold_vs_rest_logodds,380,4.474883131242706
qwen3_vl_4b,nextgqa,siglip_relevance8,correct,380,0.7074561403508773
qwen3_vl_4b,nextgqa,uniform8,gold_vs_rest_logodds,380,4.6319426046717735
qwen3_vl_4b,nextgqa,uniform8,correct,380,0.7348684210526316
videollama3_7b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-1.4455405439208506
videollama3_7b,herbench,aks_fixedk8,correct,49,0.31400518415824535
videollama3_7b,herbench,bolt_its8,gold_vs_rest_logodds,49,-1.3957711731412556
videollama3_7b,herbench,bolt_its8,correct,49,0.313328026848435
videollama3_7b,herbench,dino_change8,gold_vs_rest_logodds,49,-1.4147388844626354
videollama3_7b,herbench,dino_change8,correct,49,0.30738586810015384
videollama3_7b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-1.4272443909048138
videollama3_7b,herbench,dino_diversity8,correct,49,0.30370576135882255
videollama3_7b,herbench,mdp3_8,gold_vs_rest_logodds,49,-1.4237893884370092
videollama3_7b,herbench,mdp3_8,correct,49,0.30602979786653256
videollama3_7b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-1.4247405382534417
videollama3_7b,herbench,plain_dpp_8,correct,49,0.303285659918313
videollama3_7b,herbench,random8,gold_vs_rest_logodds,49,-1.4046254758769932
videollama3_7b,herbench,random8,correct,49,0.3203253096110239
videollama3_7b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-1.4299014674323045
videollama3_7b,herbench,siglip_dino_submodular8,correct,49,0.3079877888551358
videollama3_7b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-1.4455405439208506
videollama3_7b,herbench,siglip_relevance8,correct,49,0.31400518415824535
videollama3_7b,herbench,uniform8,gold_vs_rest_logodds,49,-1.4259622807851136
videollama3_7b,herbench,uniform8,correct,49,0.3176238160932039
videollama3_7b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-1.3146806674422848
videollama3_7b,lvbench,aks_fixedk8,correct,103,0.3271729079981507
videollama3_7b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-1.2839136737768948
videollama3_7b,lvbench,bolt_its8,correct,103,0.31907073509015266
videollama3_7b,lvbench,dino_change8,gold_vs_rest_logodds,103,-1.3564699475547695
videollama3_7b,lvbench,dino_change8,correct,103,0.2805054707967329
videollama3_7b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-1.3702593797820268
videollama3_7b,lvbench,dino_diversity8,correct,103,0.28772923408845735
videollama3_7b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-1.2846010414352456
videollama3_7b,lvbench,mdp3_8,correct,103,0.3072237632917244
videollama3_7b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-1.2858977920702281
videollama3_7b,lvbench,plain_dpp_8,correct,103,0.30143704731083365
videollama3_7b,lvbench,random8,gold_vs_rest_logodds,103,-1.318738889383529
videollama3_7b,lvbench,random8,correct,103,0.3145284327323162
videollama3_7b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-1.306446236291248
videollama3_7b,lvbench,siglip_dino_submodular8,correct,103,0.3062066574202496
videollama3_7b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-1.3146806674422848
videollama3_7b,lvbench,siglip_relevance8,correct,103,0.3271729079981507
videollama3_7b,lvbench,uniform8,gold_vs_rest_logodds,103,-1.3598525959738879
videollama3_7b,lvbench,uniform8,correct,103,0.282273848050547
videollama3_7b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,-0.1524601224066461
